SEF	1.0.0
ID	905
Name	Mutsora
Lat	0.3167
Lon	29.7333
Alt	1330.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	ta
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1973	11	1	6	0	0	17.9	
1973	11	2	6	0	0	18.3	
1973	11	3	6	0	0	17.2	
1973	11	4	6	0	0	19.0	
1973	11	5	6	0	0	17.0	
1973	11	6	6	0	0	17.2	
1973	11	7	6	0	0	18.4	
1973	11	8	6	0	0	17.7	
1973	11	9	6	0	0	18.3	
1973	11	10	6	0	0	17.2	
1973	11	11	6	0	0	NaN	
1973	11	12	6	0	0	NaN	
1973	11	13	6	0	0	NaN	
1973	11	14	6	0	0	NaN	
1973	11	15	6	0	0	NaN	
1973	11	16	6	0	0	NaN	
1973	11	17	6	0	0	NaN	
1973	11	18	6	0	0	NaN	
1973	11	19	6	0	0	NaN	
1973	11	20	6	0	0	NaN	
1973	11	21	6	0	0	NaN	
1973	11	22	6	0	0	NaN	
1973	11	23	6	0	0	17.5	
1973	11	24	6	0	0	NaN	
1973	11	25	6	0	0	NaN	
1973	11	26	6	0	0	18.8	
1973	11	27	6	0	0	17.7	
1973	11	28	6	0	0	18.0	
1973	11	29	6	0	0	17.7	
1973	11	30	6	0	0	18.0	
