SEF	1.0.0
ID	601
Name	Mulungu-Mulohe
Lat	-2.3
Lon	28.7833
Alt	1731.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1967	5	1	15	0	0	NaN	
1967	5	2	15	0	0	NaN	
1967	5	3	15	0	0	NaN	
1967	5	4	15	0	0	NaN	
1967	5	5	15	0	0	NaN	
1967	5	6	15	0	0	17.5	
1967	5	7	15	0	0	17.1	
1967	5	8	15	0	0	14.8	
1967	5	9	15	0	0	17.6	
1967	5	10	15	0	0	16.5	
1967	5	11	15	0	0	17.8	
1967	5	12	15	0	0	15.0	
1967	5	13	15	0	0	17.6	
1967	5	14	15	0	0	16.6	
1967	5	15	15	0	0	15.7	
1967	5	16	15	0	0	17.4	
1967	5	17	15	0	0	15.7	
1967	5	18	15	0	0	17.9	
1967	5	19	15	0	0	17.0	
1967	5	20	15	0	0	16.0	
1967	5	21	15	0	0	15.8	
1967	5	22	15	0	0	13.2	
1967	5	23	15	0	0	14.8	
1967	5	24	15	0	0	16.0	
1967	5	25	15	0	0	17.9	
1967	5	26	15	0	0	16.6	
1967	5	27	15	0	0	17.9	
1967	5	28	15	0	0	15.7	
1967	5	29	15	0	0	14.0	
1967	5	30	15	0	0	16.5	
1967	5	31	15	0	0	16.7	
