SEF	1.0.0
ID	601
Name	Mulungu-Mulohe
Lat	-2.3
Lon	28.7833
Alt	1731.0
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1967	5	1	6	0	0	NaN	
1967	5	2	6	0	0	NaN	
1967	5	3	6	0	0	NaN	
1967	5	4	6	0	0	NaN	
1967	5	5	6	0	0	NaN	
1967	5	6	6	0	0	14.0	
1967	5	7	6	0	0	13.5	
1967	5	8	6	0	0	14.4	
1967	5	9	6	0	0	13.7	
1967	5	10	6	0	0	13.8	
1967	5	11	6	0	0	NaN	
1967	5	12	6	0	0	NaN	
1967	5	13	6	0	0	NaN	
1967	5	14	6	0	0	NaN	
1967	5	15	6	0	0	NaN	
1967	5	16	6	0	0	14.2	
1967	5	17	6	0	0	13.8	
1967	5	18	6	0	0	14.8	
1967	5	19	6	0	0	14.2	
1967	5	20	6	0	0	14.4	
1967	5	21	6	0	0	NaN	
1967	5	22	6	0	0	NaN	
1967	5	23	6	0	0	NaN	
1967	5	24	6	0	0	NaN	
1967	5	25	6	0	0	NaN	
1967	5	26	6	0	0	NaN	
1967	5	27	6	0	0	NaN	
1967	5	28	6	0	0	NaN	
1967	5	29	6	0	0	NaN	
1967	5	30	6	0	0	14.2	
1967	5	31	6	0	0	NaN	
