SEF	1.0.0
ID	508
Name	Kaniama-Kasese
Lat	nan
Lon	nan
Alt	nan
Source	Institut National pour l'Etude et la Recherche Agronomiques
Link	
Vbl	tb
Stat	point
Units	C
Meta	Observer=  | QC software = MeteoSaver v1.0 | Note = Transcription done using MeteoSaver v1.0 (https://github.com/VUB-HYDR/MeteoSaver) developed by Derrick Muheki at the Department of Water and Climate, Vrije Universiteit Brussel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1988	2	1	6	0	0	18.4	
1988	2	2	6	0	0	17.6	
1988	2	3	6	0	0	17.5	
1988	2	4	6	0	0	20.2	
1988	2	5	6	0	0	18.9	
1988	2	6	6	0	0	NaN	
1988	2	7	6	0	0	NaN	
1988	2	8	6	0	0	NaN	
1988	2	9	6	0	0	NaN	
1988	2	10	6	0	0	NaN	
1988	2	11	6	0	0	19.6	
1988	2	12	6	0	0	18.2	
1988	2	13	6	0	0	19.2	
1988	2	14	6	0	0	18.4	
1988	2	15	6	0	0	18.0	
1988	2	16	6	0	0	NaN	
1988	2	17	6	0	0	NaN	
1988	2	18	6	0	0	NaN	
1988	2	19	6	0	0	NaN	
1988	2	20	6	0	0	NaN	
1988	2	21	6	0	0	NaN	
1988	2	22	6	0	0	NaN	
1988	2	23	6	0	0	NaN	
1988	2	24	6	0	0	NaN	
1988	2	25	6	0	0	NaN	
1988	2	26	6	0	0	NaN	
1988	2	27	6	0	0	NaN	
1988	2	28	6	0	0	NaN	
1988	2	29	6	0	0	NaN	
